line_key,priority,reconciliation_status,match_method,confidence_score,absolute_exposure,anomaly_flags
TXN-A-002043-L01,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,792.93,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION;LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002231-L4281,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,758.45,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-001603-L3178,MEDIUM,UNRESOLVED,GENERIC_STRENGTH_EQUIVALENT,85.00,732.23,UNRESOLVED_TRANSACTION
TXN-A-002026-L01,MEDIUM,UNRESOLVED,GENERIC_STRENGTH_EQUIVALENT,85.00,725.98,UNRESOLVED_TRANSACTION
TXN-A-001909-L3832,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,716.93,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002014-L01,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,677.30,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002014-L02,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,677.30,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002096-L4066,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,658.79,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-001563-L3138,MEDIUM,UNRESOLVED,GENERIC_STRENGTH_EQUIVALENT,85.00,645.60,UNRESOLVED_TRANSACTION
TXN-A-002285-L4389,MEDIUM,UNRESOLVED,GENERIC_STRENGTH_EQUIVALENT,85.00,642.02,UNRESOLVED_TRANSACTION
TXN-A-001776-L3566,MEDIUM,UNRESOLVED,GENERIC_STRENGTH_EQUIVALENT,85.00,629.19,UNRESOLVED_TRANSACTION
TXN-A-001833-L3680,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,621.80,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002145-L4134,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,620.66,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002241-L4301,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,614.46,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-001773-L3560,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,553.73,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-001652-L3299,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,537.55,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-001918-L3850,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,493.56,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002059-L4029,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,492.38,MISSING_COUNTERPART
TXN-A-002041-L01,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,489.85,MISSING_COUNTERPART
TXN-A-002053-L4023,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,489.46,MISSING_COUNTERPART
TXN-A-002062-L4032,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,485.92,MISSING_COUNTERPART
TXN-A-002250-L4319,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,481.90,MISSING_COUNTERPART
TXN-A-002011-L01,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,480.58,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002011-L02,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,480.58,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002275-L4369,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,479.32,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002182-L4202,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,478.50,MISSING_COUNTERPART
TXN-A-002217-L4253,MEDIUM,UNRESOLVED,GENERIC_STRENGTH_EQUIVALENT,85.00,474.50,UNRESOLVED_TRANSACTION
TXN-A-001636-L3252,MEDIUM,UNRESOLVED,GENERIC_STRENGTH_EQUIVALENT,85.00,474.20,UNRESOLVED_TRANSACTION
TXN-A-002258-L4335,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,468.03,MISSING_COUNTERPART
TXN-A-002019-L01,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,465.39,MISSING_COUNTERPART
TXN-A-002019-L02,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,465.39,MISSING_COUNTERPART
TXN-A-001889-L3792,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,464.43,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002042-L01,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,452.38,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION;LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002042-L01,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,452.38,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION;LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-001858-L3730,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,451.29,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002213-L4245,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,441.87,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002282-L4383,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,431.65,MISSING_COUNTERPART
TXN-A-002051-L4021,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,430.89,MISSING_COUNTERPART
TXN-A-002010-L01,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,427.84,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002010-L02,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,427.84,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002039-L01,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,422.21,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION;LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002039-L01,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,422.21,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION;LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-001650-L3294,MEDIUM,UNRESOLVED,GENERIC_STRENGTH_EQUIVALENT,85.00,419.92,UNRESOLVED_TRANSACTION
TXN-A-002086-L4056,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,417.96,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-001861-L3736,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,417.67,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002200-L4220,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,407.62,MISSING_COUNTERPART
TXN-A-002198-L4218,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,400.65,MISSING_COUNTERPART
TXN-A-002243-L4305,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,400.37,MISSING_COUNTERPART
TXN-A-002190-L4210,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,398.47,MISSING_COUNTERPART
TXN-A-001528-L3103,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,397.06,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-001834-L3682,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,391.30,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002205-L4229,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,390.52,MISSING_COUNTERPART
TXN-A-002233-L4285,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,385.62,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002077-L4047,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,384.13,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-001906-L3826,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,356.83,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002191-L4211,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,352.67,MISSING_COUNTERPART
TXN-A-002047-L4017,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,349.12,MISSING_COUNTERPART
TXN-A-002237-L4293,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,342.00,MISSING_COUNTERPART
TXN-A-002257-L4333,MEDIUM,UNRESOLVED,GENERIC_STRENGTH_EQUIVALENT,85.00,340.43,UNRESOLVED_TRANSACTION
TXN-A-002147-L4138,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,339.54,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002203-L4225,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,336.42,MISSING_COUNTERPART
TXN-A-002180-L4200,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,335.99,MISSING_COUNTERPART
TXN-A-002050-L4020,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,331.68,MISSING_COUNTERPART
TXN-A-002283-L4385,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,327.91,MISSING_COUNTERPART
TXN-A-002063-L4033,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,327.41,MISSING_COUNTERPART
TXN-A-002061-L4031,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,325.85,MISSING_COUNTERPART
TXN-A-001605-L3180,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,323.80,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-001664-L3335,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,323.12,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002160-L4164,MEDIUM,UNRESOLVED,GENERIC_STRENGTH_EQUIVALENT,85.00,316.34,UNRESOLVED_TRANSACTION
TXN-A-002216-L4251,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,310.86,MISSING_COUNTERPART
TXN-A-001752-L3518,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,302.20,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002072-L4042,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,301.71,MISSING_COUNTERPART
TXN-A-002100-L4070,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,301.06,MISSING_COUNTERPART
TXN-A-002279-L4377,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,299.07,MISSING_COUNTERPART
TXN-A-002164-L4172,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,295.10,MISSING_COUNTERPART
TXN-A-002049-L4019,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,294.21,MISSING_COUNTERPART
TXN-A-002281-L4381,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,293.59,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002276-L4371,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,289.61,MISSING_COUNTERPART
TXN-A-002208-L4235,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,279.92,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002234-L4287,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,274.39,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-001782-L3578,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,263.99,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002194-L4214,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,260.91,MISSING_COUNTERPART
TXN-A-002188-L4208,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,247.82,MISSING_COUNTERPART
TXN-A-002193-L4213,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,246.57,MISSING_COUNTERPART
TXN-A-002034-L01,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,246.21,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002090-L4060,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,244.69,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002054-L4024,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,241.03,MISSING_COUNTERPART
TXN-A-001641-L3266,MEDIUM,UNRESOLVED,GENERIC_STRENGTH_EQUIVALENT,85.00,236.28,UNRESOLVED_TRANSACTION
TXN-A-002211-L4241,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,233.44,MISSING_COUNTERPART
TXN-A-002068-L4038,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,232.12,MISSING_COUNTERPART
TXN-A-001789-L3592,MEDIUM,UNRESOLVED,GENERIC_STRENGTH_EQUIVALENT,85.00,231.28,UNRESOLVED_TRANSACTION
TXN-A-002038-L01,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,230.57,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION;LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002038-L01,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,230.57,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION;LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002060-L4030,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,223.48,MISSING_COUNTERPART
TXN-A-001862-L3738,MEDIUM,UNRESOLVED,GENERIC_STRENGTH_EQUIVALENT,85.00,223.08,UNRESOLVED_TRANSACTION
TXN-A-002088-L4058,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,222.46,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-001494-L2987,MEDIUM,UNRESOLVED,GENERIC_STRENGTH_EQUIVALENT,85.00,221.56,UNRESOLVED_TRANSACTION
TXN-A-002015-L02,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,221.53,MISSING_COUNTERPART
TXN-A-002071-L4041,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,213.54,MISSING_COUNTERPART
TXN-A-002210-L4239,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,213.44,MISSING_COUNTERPART
TXN-A-002209-L4237,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,206.90,MISSING_COUNTERPART
TXN-A-002230-L4279,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,205.86,MISSING_COUNTERPART
TXN-A-002028-L01,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,205.30,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION;LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002028-L01,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,205.30,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION;LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002094-L4064,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,201.85,MISSING_COUNTERPART
TXN-A-002156-L4156,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,201.16,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002076-L4046,MEDIUM,UNRESOLVED,GENERIC_STRENGTH_EQUIVALENT,85.00,200.37,UNRESOLVED_TRANSACTION
TXN-A-001860-L3734,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,198.05,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002006-L01,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,197.22,MISSING_COUNTERPART
TXN-A-002006-L02,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,197.22,MISSING_COUNTERPART
TXN-A-002031-L01,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,196.95,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION;LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002031-L01,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,196.95,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION;LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002256-L4331,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,196.69,MISSING_COUNTERPART
TXN-A-002207-L4233,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,192.76,MISSING_COUNTERPART
TXN-A-002165-L4174,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,188.86,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002254-L4327,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,181.48,MISSING_COUNTERPART
TXN-A-002056-L4026,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,181.07,MISSING_COUNTERPART
TXN-A-002179-L4199,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,177.20,MISSING_COUNTERPART
TXN-A-002277-L4373,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,177.05,MISSING_COUNTERPART
TXN-A-001830-L3674,MEDIUM,UNRESOLVED,GENERIC_STRENGTH_EQUIVALENT,85.00,176.13,UNRESOLVED_TRANSACTION
TXN-A-002173-L4190,MEDIUM,UNRESOLVED,GENERIC_STRENGTH_EQUIVALENT,85.00,174.58,UNRESOLVED_TRANSACTION
TXN-A-002033-L01,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,171.76,MISSING_COUNTERPART;MISSING_COUNTERPART
TXN-A-002033-L01,MEDIUM,MISSING_IN_SOURCE_B,UNMATCHED,0.00,171.76,MISSING_COUNTERPART;MISSING_COUNTERPART
TXN-A-002005-L01,MEDIUM,UNRESOLVED,GENERIC_STRENGTH_EQUIVALENT,85.00,171.15,UNRESOLVED_TRANSACTION
